record_id,event_id,event_type,reference_period,indicator,consensus_value,unit,consensus_type,survey_provider,publisher,source_url,publication_time_original,publication_time_utc,official_release_time_utc,lead_time_minutes,source_title,source_evidence_excerpt,retrieved_at,validation_status,sample_n,range_low,range_high,qa_official_first_print,qa_arithmetic_difference,econoday_consensus_value,notes
CPI202412-FJ-HMOM,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_HEADLINE_MOM,0.3,percent,SURVEY_MEDIAN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/01/13/us-cpi-prep-12/,"January 13, 2025",,2025-01-15T13:30:00Z,,US CPI Prep,"Headline US CPI MoM, the median expectation is 0.3%, from the prior 0.3%. The highest estimate is 0.4%, and the lowest is 0.2%.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,38,0.2,0.4,0.4,0.1,,Survey of 38 economists; poll vendor not named.
CPI202412-FJ-HYOY,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_HEADLINE_YOY,2.9,percent,SURVEY_MEDIAN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/01/13/us-cpi-prep-12/,"January 13, 2025",,2025-01-15T13:30:00Z,,US CPI Prep,"The median expectation for headline US CPI YoY is 2.9%, up from the prior 2.7%. According to a survey of 38 qualified economists, the highest estimate is 3%, and the lowest is 2.6%.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,38,2.6,3.0,2.9,0.0,,Conflicts with FactSet/Morningstar 2.8.
CPI202412-FJ-CMOM,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_CORE_MOM,0.2,percent,SURVEY_MEDIAN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/01/13/us-cpi-prep-12/,"January 13, 2025",,2025-01-15T13:30:00Z,,US CPI Prep,"Core CPI MoM has a median forecast of 0.2%, the prior was 0.3%. The highest estimate is 0.3%, the lowest was 0.2%.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,38,0.2,0.3,0.2,0.0,,Survey of 38; vendor unnamed.
CPI202412-FJ-CYOY,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_CORE_YOY,3.3,percent,SURVEY_MEDIAN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/01/13/us-cpi-prep-12/,"January 13, 2025",,2025-01-15T13:30:00Z,,US CPI Prep,"Core CPI YoY has a median expectation of 3.3%, expected to remain unchanged from the prior 3.3%.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,38,,,3.2,-0.1,,Survey of 38; vendor unnamed.
CPI202412-WF-HMOM,CPI_2024-12_2025-01-15,CPI,2024-12,CPI_HEADLINE_MOM,0.4,percent,SINGLE_FORECAST,none,FinancialJuice,https://features.financialjuice.com/2025/01/13/us-cpi-prep-12/,"January 13, 2025",,2025-01-15T13:30:00Z,,US CPI Prep,Wells Fargo: forecast of a 0.4% monthly gain in the Consumer Price Index in December.,2026-09-24T00:30:00Z,SINGLE_FORECAST_ONLY,,,,0.4,0.0,,"House forecast, not a survey consensus. Included as a contrast case."
CPI202504-FJ-HMOM,CPI_2025-04_2025-05-13,CPI,2025-04,CPI_HEADLINE_MOM,0.3,percent,UNKNOWN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/05/12/us-cpi-prep-15/,"May 12, 2025",,2025-05-13T12:30:00Z,,US CPI Prep,MoM - Forecast: 0.3% | Prior: -0.1% | Range: 0.6% / 0%,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,0.0,0.6,0.2,-0.1,,Forecast table; poll vendor and n not disclosed. Date only.
CPI202504-FJ-HYOY,CPI_2025-04_2025-05-13,CPI,2025-04,CPI_HEADLINE_YOY,2.4,percent,UNKNOWN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/05/12/us-cpi-prep-15/,"May 12, 2025",,2025-05-13T12:30:00Z,,US CPI Prep,YoY - Forecast: 2.4% | Prior: 2.4% | Range: 2.5% / 2.2%,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,2.2,2.5,2.3,-0.1,,Forecast table; poll vendor and n not disclosed.
CPI202504-FJ-CMOM,CPI_2025-04_2025-05-13,CPI,2025-04,CPI_CORE_MOM,0.3,percent,UNKNOWN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/05/12/us-cpi-prep-15/,"May 12, 2025",,2025-05-13T12:30:00Z,,US CPI Prep,Core MoM - Forecast: 0.3% | Prior: 0.1% | Range: 0.6% / 0.1%,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,0.1,0.6,0.2,-0.1,,Forecast table; poll vendor and n not disclosed.
CPI202504-FJ-CYOY,CPI_2025-04_2025-05-13,CPI,2025-04,CPI_CORE_YOY,2.8,percent,UNKNOWN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/05/12/us-cpi-prep-15/,"May 12, 2025",,2025-05-13T12:30:00Z,,US CPI Prep,Core YoY - Forecast: 2.8% | Prior: 2.8% | Range: 3% / 2.7%,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,2.7,3.0,2.8,0.0,,Forecast table; poll vendor and n not disclosed.
CPI202504-WF-HMOM,CPI_2025-04_2025-05-13,CPI,2025-04,CPI_HEADLINE_MOM,0.2,percent,SINGLE_FORECAST,none,FinancialJuice,https://features.financialjuice.com/2025/05/12/us-cpi-prep-15/,"May 12, 2025",,2025-05-13T12:30:00Z,,US CPI Prep,"Wells Fargo: we look for the headline CPI to rise 0.2% in April, leading the year-ago rate to dip to a four-year low of 2.3%.",2026-09-24T00:30:00Z,SINGLE_FORECAST_ONLY,,,,0.2,0.0,,House forecast. Differs from the same page Forecast table 0.3% MoM.
CPI202504-FS-HYOY,CPI_2025-04_2025-05-13,CPI,2025-04,CPI_HEADLINE_YOY,,percent,SURVEY_MEDIAN,FactSet,FactSet Insight,https://insight.factset.com/,not found,,2025-05-13T12:30:00Z,,April 2025 CPI FactSet preview,,2026-09-24T00:30:00Z,NOT_FOUND,,,,2.3,,,No matching public FactSet Insight CPI preview URL was recovered for the April 2025 print. Guessed path 404.
CPI202508-REU-HMOM,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_HEADLINE_MOM,0.3,percent,SURVEY_MEDIAN,Reuters,Reuters,https://www.reuters.com/business/cooler-us-producer-inflation-hints-softening-demand-2025-09-10/,"WASHINGTON, Sept 10 (Reuters)",,2025-09-11T12:30:00Z,,Cooler US producer inflation hints at softening demand,A Reuters survey of economists forecast the Consumer Price Index increased 0.3% last month after climbing 0.2% in July.,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,0.4,0.1,,PPI-day article; body reports PPI actuals and still forecasts Thursday CPI (no 0.4 print). Date only; no clock. Stronger than a generic date page but not VERIFIED_PRE_RELEASE.
CPI202508-REU-HYOY,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_HEADLINE_YOY,2.9,percent,SURVEY_MEDIAN,Reuters,Reuters,https://www.reuters.com/business/cooler-us-producer-inflation-hints-softening-demand-2025-09-10/,"WASHINGTON, Sept 10 (Reuters)",,2025-09-11T12:30:00Z,,Cooler US producer inflation hints at softening demand,Consumer prices are expected to have advanced 2.9% on a year-over-year basis in August after rising 2.7% in July.,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,2.9,0.0,,Reuters survey; date-only dateline Sept 10; article does not contain the later 0.4 MoM print.
CPI202508-REU-CMOM,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_CORE_MOM,0.3,percent,SURVEY_MEDIAN,Reuters,Reuters,https://www.reuters.com/business/cooler-us-producer-inflation-hints-softening-demand-2025-09-10/,"WASHINGTON, Sept 10 (Reuters)",,2025-09-11T12:30:00Z,,Cooler US producer inflation hints at softening demand,Core CPI inflation is predicted to have increased 0.3% for a second straight month.,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,0.3,0.0,,Reuters survey; date-only.
CPI202508-REU-CYOY,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_CORE_YOY,3.1,percent,SURVEY_MEDIAN,Reuters,Reuters,https://www.reuters.com/business/cooler-us-producer-inflation-hints-softening-demand-2025-09-10/,"WASHINGTON, Sept 10 (Reuters)",,2025-09-11T12:30:00Z,,Cooler US producer inflation hints at softening demand,That reading would keep the annual increase in core CPI inflation at 3.1%.,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,3.1,0.0,,Reuters survey; date-only.
CPI202508-FS-HYOY,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_HEADLINE_YOY,2.9,percent,SURVEY_MEDIAN,FactSet,FactSet Insight,https://insight.factset.com/consumer-price-index-cpi-for-august-2025-is-projected-to-rise-2.9-year-over-year,"September 10, 2025",,2025-09-11T12:30:00Z,,Consumer Price Index (CPI) for August 2025 is Projected to Rise 2.9% Year-Over-Year,"The median estimate (year-over-year, not seasonally adjusted) for the consumer price index (CPI) for the month of August 2025 is 2.9%.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,2.9,0.0,,Page says Tomorrow (September 11). No MoM on this page. Agrees with Reuters YoY.
CPI202508-FS-CYOY,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_CORE_YOY,3.1,percent,SURVEY_MEDIAN,FactSet,FactSet Insight,https://insight.factset.com/consumer-price-index-cpi-for-august-2025-is-projected-to-rise-2.9-year-over-year,"September 10, 2025",,2025-09-11T12:30:00Z,,Consumer Price Index (CPI) for August 2025 is Projected to Rise 2.9% Year-Over-Year,"The median estimate (year-over-year, not seasonally adjusted) for the consumer price index excluding food & energy (Core CPI) is 3.1%.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,3.1,0.0,,No sample n disclosed on this page.
CPI202508-MSFS-HMOM,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_HEADLINE_MOM,0.3,percent,SURVEY_OTHER,FactSet,Morningstar,https://www.morningstar.com/economy/august-cpi-report-forecasts-point-sticky-inflation-tariff-pressures,"Sep 9, 2025",,2025-09-11T12:30:00Z,,August CPI Report Forecasts Point to Sticky Inflation and Tariff Pressures,"Economists expect the CPI to rise 0.3% on a monthly basis in August and 2.9% year over year, according to the latest consensus estimates from FactSet.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,0.4,0.1,,Date only. FactSet via Morningstar. Agrees with Reuters MoM 0.3.
CPI202508-MSFS-HYOY,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_HEADLINE_YOY,2.9,percent,SURVEY_OTHER,FactSet,Morningstar,https://www.morningstar.com/economy/august-cpi-report-forecasts-point-sticky-inflation-tariff-pressures,"Sep 9, 2025",,2025-09-11T12:30:00Z,,August CPI Report Forecasts Point to Sticky Inflation and Tariff Pressures,"Economists expect the CPI to rise 0.3% on a monthly basis in August and 2.9% year over year, according to the latest consensus estimates from FactSet.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,2.9,0.0,,Agrees with FactSet Insight and Reuters YoY.
CPI202508-MSFS-CMOM,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_CORE_MOM,0.3,percent,SURVEY_OTHER,FactSet,Morningstar,https://www.morningstar.com/economy/august-cpi-report-forecasts-point-sticky-inflation-tariff-pressures,"Sep 9, 2025",,2025-09-11T12:30:00Z,,August CPI Report Forecasts Point to Sticky Inflation and Tariff Pressures,Core CPI ... is also expected to come in at 0.3% on a monthly basis for August and 3.1% year over year.,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,0.3,0.0,,Date only. FactSet via Morningstar.
CPI202508-MSFS-CYOY,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_CORE_YOY,3.1,percent,SURVEY_OTHER,FactSet,Morningstar,https://www.morningstar.com/economy/august-cpi-report-forecasts-point-sticky-inflation-tariff-pressures,"Sep 9, 2025",,2025-09-11T12:30:00Z,,August CPI Report Forecasts Point to Sticky Inflation and Tariff Pressures,Core CPI ... 3.1% year over year.,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,3.1,0.0,,Date only. FactSet via Morningstar.
CPI202508-AMP-HMOM,CPI_2025-08_2025-09-11,CPI,2025-08,CPI_HEADLINE_MOM,0.4,percent,SINGLE_FORECAST,none,Morningstar,https://www.morningstar.com/economy/august-cpi-report-forecasts-point-sticky-inflation-tariff-pressures,"Sep 9, 2025",,2025-09-11T12:30:00Z,,August CPI Report Forecasts Point to Sticky Inflation and Tariff Pressures,"Russell Price, chief economist at Ameriprise, expects a hotter-than-consensus 0.4% increase on a monthly basis.",2026-09-24T00:30:00Z,SINGLE_FORECAST_ONLY,,,,0.4,0.0,,House forecast explicitly labelled hotter-than-consensus.
EMP202412-FS-NFP,EMPLOYMENT_SITUATION_2024-12_2025-01-10,EMPLOYMENT_SITUATION,2024-12,NFP_PAYROLL_CHANGE,153000,persons,SURVEY_MEDIAN,FactSet,FactSet Insight,https://insight.factset.com/u.s.-jobs-are-projected-to-rise-by-153000-for-december-2024,"January 9, 2025",,2025-01-10T13:30:00Z,,"U.S. Jobs Are Projected to Rise by 153,000 for December 2024","The median estimate for total nonfarm payroll employment for the month of December 2024 is 153,000.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,19,125000,200000,256000,103000,,n=19; range 125000-200000. Page says Tomorrow BLS will release. Conflicts with FinancialJuice 160k/165k.
EMP202412-FS-UE,EMPLOYMENT_SITUATION_2024-12_2025-01-10,EMPLOYMENT_SITUATION,2024-12,UNEMPLOYMENT_RATE,4.2,percent,SURVEY_MEDIAN,FactSet,FactSet Insight,https://insight.factset.com/u.s.-jobs-are-projected-to-rise-by-153000-for-december-2024,"January 9, 2025",,2025-01-10T13:30:00Z,,"U.S. Jobs Are Projected to Rise by 153,000 for December 2024",The median estimate for the unemployment rate for the month of December 2024 is 4.2%.,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,17,4.1,4.3,4.1,-0.1,,n=17; range 4.1-4.3.
EMP202412-FJ-NFP,EMPLOYMENT_SITUATION_2024-12_2025-01-10,EMPLOYMENT_SITUATION,2024-12,NFP_PAYROLL_CHANGE,160000,persons,SURVEY_MEDIAN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/01/07/us-nfp-prep/,"January 7, 2025",,2025-01-10T13:30:00Z,,US NFP Prep,"the median expectation is for it to move down to 160K from 227K. According to a survey of 459 qualified economists, the highest estimate is 205K, and the lowest is 120K.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,459,120000,205000,256000,96000,,n=459 is implausibly large for a standard wire poll; quality flag. Lead sentence mislabels the print as November. Conflicts with FactSet 153k and later FJ morning 165k.
EMP202412-FJ-UE,EMPLOYMENT_SITUATION_2024-12_2025-01-10,EMPLOYMENT_SITUATION,2024-12,UNEMPLOYMENT_RATE,4.2,percent,SURVEY_MEDIAN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/01/07/us-nfp-prep/,"January 7, 2025",,2025-01-10T13:30:00Z,,US NFP Prep,"As for the Unemployment Rate, the median expectation is for it to remain unchanged at 4.2%.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,,,4.1,-0.1,,Vendor unnamed. Agrees with FactSet UE 4.2.
EMP202412-FJMJ-NFP,EMPLOYMENT_SITUATION_2024-12_2025-01-10,EMPLOYMENT_SITUATION,2024-12,NFP_PAYROLL_CHANGE,165000,persons,SURVEY_MEDIAN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/01/10/morning-juice-us-session-prep-243/,"January 10, 2025",,2025-01-10T13:30:00Z,,Morning Juice - US Session Prep,Nonfarm Payrolls - Median Forecast: 165K | Prior: 227K | Range: 268K / 100K,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,100000,268000,256000,91000,,"Pre-session copy (Good Morning Traders / what to look out for today) but no clock, so not VERIFIED_PRE_RELEASE. Conflicts with same outlet Jan 7 160k and FactSet 153k."
EMP202412-FJMJ-UE,EMPLOYMENT_SITUATION_2024-12_2025-01-10,EMPLOYMENT_SITUATION,2024-12,UNEMPLOYMENT_RATE,4.2,percent,SURVEY_MEDIAN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/01/10/morning-juice-us-session-prep-243/,"January 10, 2025",,2025-01-10T13:30:00Z,,Morning Juice - US Session Prep,Unemployment Rate - Median Forecast: 4.2% | Prior: 4.2% | Range: 4.4% / 4.1%,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,4.1,4.4,4.1,-0.1,,Date only; pre-session language.
EMP202412-FJMJ-AHEY,EMPLOYMENT_SITUATION_2024-12_2025-01-10,EMPLOYMENT_SITUATION,2024-12,AHE_YOY,4.0,percent,SURVEY_MEDIAN,UNKNOWN,FinancialJuice,https://features.financialjuice.com/2025/01/10/morning-juice-us-session-prep-243/,"January 10, 2025",,2025-01-10T13:30:00Z,,Morning Juice - US Session Prep,Average Earnings YoY - Median Forecast: 4% | Prior: 4% | Range: 4.2% / 3.8%,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,,3.8,4.2,3.9,-0.1,,AHE MoM not shown on this page.
EMP202505-WTAQ-NFP,EMPLOYMENT_SITUATION_2025-05_2025-06-06,EMPLOYMENT_SITUATION,2025-05,NFP_PAYROLL_CHANGE,130000,persons,SURVEY_MEDIAN,Reuters,WTAQ (Reuters reprint),https://wtaq.com/2025/06/06/slow-us-job-growth-anticipated-in-may-unemployment-rate-seen-steady/,"Jun 6, 2025 | 12:38 AM",2025-06-06T05:38:00Z,2025-06-06T12:30:00Z,412,Slow US job growth anticipated in May; unemployment rate seen steady,"Nonfarm payrolls likely increased by 130,000 jobs last month after rising 177,000 in April, a Reuters survey of economists showed.",2026-09-24T00:30:00Z,VERIFIED_PRE_RELEASE,,75000,190000,139000,9000,,12:38 AM interpreted as America/Chicago (WTAQ Green Bay). Any US civil timezone at 12:38 AM on 2025-06-06 is still before 12:30Z. Range 75000-190000.
EMP202505-WTAQ-UE,EMPLOYMENT_SITUATION_2025-05_2025-06-06,EMPLOYMENT_SITUATION,2025-05,UNEMPLOYMENT_RATE,4.2,percent,SURVEY_MEDIAN,Reuters,WTAQ (Reuters reprint),https://wtaq.com/2025/06/06/slow-us-job-growth-anticipated-in-may-unemployment-rate-seen-steady/,"Jun 6, 2025 | 12:38 AM",2025-06-06T05:38:00Z,2025-06-06T12:30:00Z,412,Slow US job growth anticipated in May; unemployment rate seen steady,the unemployment rate holding steady at 4.2% for the third straight month,2026-09-24T00:30:00Z,VERIFIED_PRE_RELEASE,,,,4.2,0.0,,Reuters preview reprint. Clock before 08:30 ET.
EMP202505-WTAQ-AHEM,EMPLOYMENT_SITUATION_2025-05_2025-06-06,EMPLOYMENT_SITUATION,2025-05,AHE_MOM,0.3,percent,SURVEY_MEDIAN,Reuters,WTAQ (Reuters reprint),https://wtaq.com/2025/06/06/slow-us-job-growth-anticipated-in-may-unemployment-rate-seen-steady/,"Jun 6, 2025 | 12:38 AM",2025-06-06T05:38:00Z,2025-06-06T12:30:00Z,412,Slow US job growth anticipated in May; unemployment rate seen steady,Average hourly earnings are forecast to have increased 0.3% after gaining 0.2% in April.,2026-09-24T00:30:00Z,VERIFIED_PRE_RELEASE,,,,0.4,0.1,,Reuters preview reprint. Stage 1 first print AHE MoM was 0.4.
EMP202505-WTAQ-AHEY,EMPLOYMENT_SITUATION_2025-05_2025-06-06,EMPLOYMENT_SITUATION,2025-05,AHE_YOY,3.7,percent,SURVEY_MEDIAN,Reuters,WTAQ (Reuters reprint),https://wtaq.com/2025/06/06/slow-us-job-growth-anticipated-in-may-unemployment-rate-seen-steady/,"Jun 6, 2025 | 12:38 AM",2025-06-06T05:38:00Z,2025-06-06T12:30:00Z,412,Slow US job growth anticipated in May; unemployment rate seen steady,"In the 12 months through May, wages are estimated to have risen 3.7% after advancing 3.8% in April",2026-09-24T00:30:00Z,VERIFIED_PRE_RELEASE,,,,3.9,0.2,,Reuters preview reprint. Stage 1 first print AHE YoY was 3.9.
EMP202505-FS-NFP,EMPLOYMENT_SITUATION_2025-05_2025-06-06,EMPLOYMENT_SITUATION,2025-05,NFP_PAYROLL_CHANGE,130000,persons,SURVEY_MEDIAN,FactSet,FactSet Insight,https://insight.factset.com/total-nonfarm-payrolls-for-may-2025-are-projected-to-rise-by-130000,"June 5, 2025",,2025-06-06T12:30:00Z,,"Total Nonfarm Payrolls for May 2025 Are Projected to Rise By 130,000","The median estimate for total nonfarm payroll employment for the month of May 2025 is 130,000.",2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,11,110000,165000,139000,9000,,n=11; range 110000-165000. Agrees with Reuters 130k. Page says Tomorrow BLS will release May.
EMP202505-FS-UE,EMPLOYMENT_SITUATION_2025-05_2025-06-06,EMPLOYMENT_SITUATION,2025-05,UNEMPLOYMENT_RATE,4.2,percent,SURVEY_MEDIAN,FactSet,FactSet Insight,https://insight.factset.com/total-nonfarm-payrolls-for-may-2025-are-projected-to-rise-by-130000,"June 5, 2025",,2025-06-06T12:30:00Z,,"Total Nonfarm Payrolls for May 2025 Are Projected to Rise By 130,000",The median estimate for the unemployment rate for the month of April 2025 is 4.2%.,2026-09-24T00:30:00Z,PRE_RELEASE_DATE_ONLY,11,4.2,4.3,4.2,0.0,,UE paragraph says April while the payroll paragraph and closer say May. n=11; range 4.2-4.3. Do not treat the month label as clean.
